no. of steps (m),d (n=50),d (n=100),d (n=500),d (n=1000),sqrt(m)
1,1,1,1,1,1
2,1.307106781,1.322670273,1.231592063,1.217248917,1.414213562
3,1.644984472,1.694427191,1.558289424,1.583525492,1.732050808
4,1.674678467,1.984569999,1.696459248,1.749476301,2
5,2.117147988,2.028294827,2.065991798,2.000726856,2.236067977
6,2.023641342,2.061440002,2.113142756,2.167333004,2.449489743
7,2.533463297,2.389735552,2.360438865,2.353335627,2.645751311
8,2.382608611,2.514734067,2.432400294,2.571554029,2.828427125
9,2.948457153,2.73141007,2.79990044,2.717703623,3
10,2.73570181,3.038444043,2.772273624,2.790401602,3.16227766
11,2.597960015,2.737949231,3.050621545,2.903541519,3.31662479
12,3.01210622,3.011198208,3.038283387,3.048981223,3.464101615
13,3.578701031,3.278863648,3.165854333,3.116417686,3.605551275
14,2.952347357,3.305935625,3.317095601,3.237516165,3.741657387
15,3.640617156,3.221627549,3.437953906,3.503655586,3.872983346
16,3.431298576,3.609532192,3.644013036,3.539901326,4
17,3.974249773,3.632748142,3.640092344,3.642083194,4.123105626
18,3.875170082,3.805292589,3.844858146,3.664354402,4.242640687
19,4.183424526,3.87530735,3.83225651,3.955719591,4.358898944
20,4.539826459,3.8799277,3.971406185,3.877007163,4.472135955
21,4.533570173,4.017009025,4.20254432,4.087338286,4.582575695
22,3.756154214,4.00940389,4.317765032,4.070931957,4.69041576
23,4.063678665,4.062066872,4.2841837,4.286642999,4.795831523
24,4.45213109,4.143078103,4.507286793,4.335986695,4.898979486
25,4.649789881,4.993137353,4.484304108,4.497846189,5
26,4.290205873,5.089260405,4.413281362,4.558293729,5.099019514
27,5.158955606,5.05915888,4.763046053,4.812262445,5.196152423
28,3.941183818,5.0895781,4.555847117,4.689369371,5.291502622
29,4.445218192,4.925727947,4.932624102,4.784011348,5.385164807
30,5.439629102,4.736769767,4.941556553,5.003860991,5.477225575
31,4.808882162,5.354074178,4.914804836,5.000210547,5.567764363
32,5.14737045,5.040886678,5.18631843,4.993865684,5.656854249
33,5.022718707,5.631096524,5.028759347,5.072179062,5.744562647
34,5.572552158,5.137596106,5.125027019,5.098517676,5.830951895
35,5.948097082,4.851903772,5.26239532,5.2713131,5.916079783
36,5.572303116,5.288634496,5.332589382,5.325929064,6
37,5.577770761,5.23554563,5.471507825,5.50475941,6.08276253
38,5.781438142,5.268633334,5.350428472,5.516945023,6.164414003
39,6.143074062,5.536040612,5.628807277,5.636957815,6.244997998
40,6.466588998,5.187183953,5.47401902,5.512837656,6.32455532
41,5.188360351,5.565993296,5.593071074,5.65518846,6.403124237
42,5.671463551,6.195953456,5.80492951,5.784029049,6.480740698
43,6.199788252,5.359020118,5.77772852,5.713653757,6.557438524
44,5.254389115,6.100540496,5.703016472,5.797630876,6.633249581
45,5.780147273,5.386310475,6.017927913,5.860381502,6.708203932
46,5.812127719,5.611069074,6.378874617,6.106182375,6.782329983
47,6.64135239,6.244605498,5.999477222,6.034924458,6.8556546
48,5.815549057,6.249604779,6.169666447,6.10966714,6.92820323
49,5.608962671,6.129122911,6.165258777,6.145046441,7
50,7.223032935,5.940582881,6.097792535,6.204889971,7.071067812